Gépcoop cikkszám;  Cikknév;Iron trade;Csavarda;Koelner;Mekrs;Fabory;Ferdinand;Reyher;Hopefix;Fastbolt;Schafer;King;Wasi
52814MMCO;MENETMETSZŐ M14 HSS-E COBALTOS;;;04271;;;;;;;;;
52814MMCS;MENETMETSZŐ CSŐMENETHEZ G 1/4˝;;;02640;;;;;;;;;
52814SCS;"SAROKCSAVAROZÓ BIT HAJTÓ 1/4""";;;;;;;;;;;;
52814SP;SPANIFER 1T 4M RS0.5 25/0.4 HN;;;;;;;;;;;;
52815;MOTOROLAJ SZERVÍZ SZETT AL-KO 113807;;;;;;;;;;;;
528150001TOLOKIN;TOLÓMÉRŐ DIGITÁLIS NAGY KIJELZŐS 150/0.01 DIN KINEX;;;;;;;;;;;;
528150002MMKIN;MÉLYSÉGMÉRŐ HOROG NÉLKÜL 150/0.02 MM KINEX;;;;;;;;;;;;
528150002TOLOORA;TOLÓMÉRŐ MÉRŐÓRÁS 150-ES /0.02;;;;;;;;;;;;
528150012;CSILLAG-VILLÁSKULCS RACSNIS, CSUKLÓS 19-ES DEDRA;;;;;;;;;;;;
5281500125RTM;SAROKCSISZOLÓ WE 1500W 125RT METABO 601241000;;;;;;;;;;;;
528150037;TISZTÍTÓ FAM ECSET 28 MM HAUPA 150037;;;;;;;;;;;;
528150038;TISZTÍTÓ ECSET 420X50MM HAUPA 150038;;;;;;;;;;;;
5281500N4;CSAPÁGYLEHÚZÓ 1500N/4 BETA;;;;;;;;;;;;
52815010045SZET;SZÖGELLENŐRZŐ 45 FOKOS TALPAS 150X100MM DIN875/2;;;;;;;;;;;;
528150100DLT;DERÉKSZÖG LAKATOS 150X100 MM TOVARNA;;;;;;;;;;;;
528150100DTT;DERÉKSZÖG TALPAS 150X100 MM TOVARNA;;;;;;;;;;;;
5281501330;TÖRTCSAVAR KIHAJTÓ M3-24 6DB-OS KSTOOLS;;;;;;;;;;;;
528150161271C60M;KÖSZÖRŰKORONG 150X16X12.7 1C 60 M SZÜRKE;;;;;;;;;;;;
5281501RL;RESZELŐ LAPOS 150/1;;;;;;;;;;;;
528150200FEH;POLCTARTÓ VORMANN 150X200 FEHÉR;;;;;;;;;;;;
5281502020A60M;KÖSZÖRŰKORONG 150X20X20 6A 60M 8V 38 PIROS;;;;;;;;;;;;
5281502032A6;KÖSZÖRŰKORONG 150X20X32 6A;;;;;;;;;;;;
52815026;KALAPÁCS KŐMŰVES SZEGHÚZÓVAL FA NYÉLLEL 700G EXTOL;;;;;;;;;;;;
5281503145;ÜVEGMOZGATÓ MANUTAN EXPERT TAPADÓKORONGGAL 120KG-IG;;;;;;;;;;;;
5281503RFSR;RESZELŐ FÉLKEREK 150/3 SIMÍTÓ ROMÁN;;;;;;;;;;;;
5281503RHSR;RESZELŐ HÁROMÉLŰ 150/3 SIMÍTÓ ROMÁN;;;;;;;;;;;;
5281503RKSR;RESZELŐ KEREK 150/3 SIMÍTÓ ROMÁN;;;;;;;;;;;;
5281503RLSR;RESZELŐ LAPOS 150/3 SIMÍTÓ ROMÁN;;;;;;;;;;;;
5281503RNSR;RESZELŐ NÉGYÉLŰ 150/3 SIMÍTÓ ROMÁN;;;;;;;;;;;;
52815040001DO;TOLÓMÉRŐ DIGITÁLIS 150  /0.01;;;;;;;;;;;;
52815040003TKS;TOLÓMÉRŐ DIGITÁLIS 150X40/0.03 MM KS TOOLS;;;;;;;;;;;;
5281504814H;"DUGÓKULCS RACSNIS HAJTÓKAR 1/4""X150  Z48 IRÁNYVÁLTÓS";;;;;;;;;;;;
5281505010SV;RONGYKORONG SŰRŰN VARROTT 150X20X10;;;;;;;;;;;;
5281508030;O-GYŰRŰ KÉSZLET WEICON 12508030;;;;;;;;;;;;
5281509314;OLAJSZŰRŐ LESZEDŐ 3 KÖRMÖS NYOMATÉKKULCS 65-120MM KSTOOLS;;;;;;;;;;;;
528150936;FALCFOGÓ 45° 280MM YT-5416;;;;;;;;;;;;
528150BS;SZINTEZŐLÉC TELESZKÓPOS 5M GEO-FENNEL BS 15-0;;;;;;;;;;;;
528150PFLJ;PATENTFOGÓ C-POFÁS 150MM LAPOS FOGÓ RÉSSZEL JONNESWAY;;;;;;;;;;;;
528150PFLS;PATENTFOGÓ C-POFÁS 150MM LAPOS FOGÓ RÉSSZEL STANLEY;;;;;;;;;;;;
528150PSF;PÁRHUZAMSATU FORGÓZSÁMOLYOS 150MM;;;;;;;;;;;;
528150PSZB;PILLANATSZORÍTÓ 150X50MM BESSEY;;;;;;;;;;;;
528150RAJV;RAJZTŰ KEMÉNYFÉMBETÉTES 150 MM CERUZA ALAK  KINEX;;;;;;;;;;;;
528150RLFL;RESZELŐ LÁNCFŰRÉSZHEZ LAPOS 150 MM NYELEZVE;;;;;;;;;;;;
528150SAEX;SATU ASZTALI 150MM EXTOL 8812614;;;;;;;;;;;;
528150SAYO;SATU ASZTALI FORGÓ ALAPPAL 150-ES YORK 984513;;;;;;;;;;;;
528150SBK;STENCIL BETŰ KÉSZLET 150 MM 26 DB-OS CROMWELL KEN5613150K;;;;;;;;;;;;
528150SSZK;STENCIL SZÁM KÉSZLET 150 MM 10 DB-OS CROMWELL KEN5611500K;;;;;;;;;;;;
528150TCSKP1808LY;TÉPŐZÁRAS CSISZOLÓKORONG 150 P180 8 LYUKAS;;;;;;;;;;;;
528150TCSKP608LY;TÉPŐZÁRAS CSISZOLÓKORONG 150 P60 8 LYUKAS;;;;;;;;;;;;
52815105;PURFIX ABLAKTÖMÍTŐ 15MM X 10MM X5M;;;;;;;;;;;;
52815109GED;IMBUSZKULCS KÉSZLET 1.5-10MM 9 RÉSZES SZÍNES GEDORE;;;;;;;;;;;;
5281510KHG;IMBUSZKULCS KÉSZLET HOSSZÚ GÖMBVÉGŰ 9 RÉSZES 1.5-10 MMFORUM;;;;;;;;;;;;
5281511150KS;CSAVARHÚZÓ KÉSZLET ÜTHETŐ 13RÉSZES KS-TOOLS 151.1150;;;;;;;;;;;;
52815127R;HENGERESSZÁRÚ CSIGAFÚRÓ 15/12.7 REDUKÁLT SZÁR HSS-G;;;;;;;;;;;;
5281513B16R;TOKMÁNY FÚRÓGÉPHEZ KULCSOS 1.5-13 B16 RÖHM;;;;;;;;;;;;
5281513HSS;HENGERESSZÁRÚ CSIGAFÚRÓ 15 CSAPOLT SZÁR 13 HSS;;;;;;;;;;;;
5281513RKT;TOKMÁNY FÚRÓGÉPHEZ KULCSOS 1.5-13 RÖHM;;;;;;;;;;;;
5281514DN6;"TÖMLŐ NAGYNYOMÁSÚ 1/4"" DN6 15M";;;;;;;;;;;;
5281516CSR;CSILLAGKULCS RACSNIS 15X16 WÜRTH;;;;;;;;;;;;
528151937;LÉCKALAPÁCS MONOBLOCK 151937 STANLEY;;;;;;;;;;;;
52815235;ÖVTÁSKA NAGY TEHERBÍRÁSÚ E-15235 MAKITA;;;;;;;;;;;;
5281525500;SPANIFER 0,5 T 5M/25MM 96700 EXTOL;;;;;;;;;;;;
5281530493;UNIVERZÁLIS PANELBEFOGÓ LED VILÁGÍTÁSSAL;;;;;;;;;;;;
5281533341;RÖGZÍTŐELEM KOMPLETT MAKITA 153334-1;;;;;;;;;;;;
52815390KSHSS;KÚPSÜLLYESZTŐ 15 3 ÉLŰ 90 FOK HSS;;;;;;;;;;;;
52815427;RUGÓS TENGELYTÖMÍTÉS S 15X42X7 T;;;;;;;;;;;;
52815445B;CSAPÁGYLEHÚZÓ 1544/5 BETA;;;;;;;;;;;;
5281545S;"CSŐFOGÓ 1.5"" S POFÁS 45 FOKOS";;;;;;;;;;;;
5281547C6;CSAPÁGYLEHÚZÓ 1547/C6 BETA;;;;;;;;;;;;
52815513HSS;HENGERESSZÁRÚ CSIGAFÚRÓ 15.5 CSAPOLT SZÁR 13 HSS;;;;;;;;;;;;
528155504ST;LÁDABONTÓ 910MM  STANLEY 1-55-504;;;;;;;;;;;;
528155KHSSPRO;KÚPOSSZÁRÚ CSIGAFÚRÓ 15.5 HSS PROGRESS;;;51082;;;;;;;;;
5281560150;CSAPSZEGKIÜTŐ 6 RÉSZES 2-8MM KSTOOLS 156.0150;;;;;;;;;;;;
52815609;FOGÓ FÉLKEREK HOSSZÚCSŐRŰ KÉTKOMPONENSŰ NYÉL 200MM SZIGETELT 1000V KNIPEX 26 16 200;;;;;;;;;;;;
52815610110;MIKROMÉTER ÁLLVÁNY 0-100MM 156-101-10 MITUTOYO;;;;;;;;;;;;
528156FEXT;FÁZISKERESŐ ÉRINTÉS NÉLKÜLI 156MM 12-1000V AC EXTOL;;;;;;;;;;;;
5281570SUPRA;BEHAJTÓHEGY TX15X70 SUPRA (3DB/CSOMAG);;;;;;;;;;;;
5281575TXCSKT;CSAVARHÚZÓ TORX 15X75 KING TONY;;;;;;;;;;;;
528158977;KAPARÓ KÉS CSERÉLHETŐ PENGÉVEL;;;;;;;;;;;;
5281591107;CSAVARHÚZÓ LAPOS HOSSZÚ 5.5X405/300 KS-TOOLS 159.1107;;;;;;;;;;;;
5281591240;CSAVARHÚZÓ GÖMBVÉGŰ TORX 27X100 KS TOOLS 159.1240;;;;;;;;;;;;
5281591241;CSAVARHÚZÓ GÖMBVÉGŰ TORX 30X100 KS TOOLS 159.1241;;;;;;;;;;;;
528159M8;LÉPCSŐS FÚRÓ D15X9 M8 REDX;;;;;;;;;;;;
52815B008;FESTŐSPATULA MŰANYAG 4DB/CSOM 50-80-100-120;;;;;;;;;;;;
52815CMVELUR;TEDDY LAKK HENGER 15 CM VELUR;;;;;;;;;;;;
52815CO5;HENGERESSZÁRÚ CSIGAFÚRÓ 15 HSS-E COBALTOS 5% DIN 338;;;65320;;;;;;;;;
52815KHSS;KÚPOSSZÁRÚ CSIGAFÚRÓ 15 HSS;;;51081;;;;;;;;;
52815MM12KT;DUGÓKULCS 15 MM  1/2˝ KINGTONY 453515M;;;;;;;;;;;;
52815OFE;OLDÓSZERÁLLÓ SZÓRÓFLAKON 1.5 LITERES;;;;;;;;;;;;
52815R;"RADIÁTOR ECSET 1.5""";;;;;;;;;;;;
52815W-40;MOTOROLAJ MANNOL UNIVERSAL 15W-40 1L;;;;;;;;;;;;
52816006;SZERSZÁMKÉSZLET KOMPRESSZORHOZ 18 DB-OS HURAGAN 16006;;;;;;;;;;;;
5281601000VT;FOGÓ OLDALCSÍPŐ 160 MM SZIGETELT 1000V TRACON KC-1000;;;;;;;;;;;;
528160110;SZÖGELLENŐRZŐ 45 FOKOS TALPAS 160X110MM;;;;;;;;;;;;
528160237;ZSÍRZÓ PNEUMATIKUS 400ML DEDRA;;;;;;;;;;;;
5281602416Z20;KÖRFŰRÉSZLAP 160X2,4X16 Z20 WOLFCRAFT;;;;;;;;;;;;
52816024F;KÖRFŰRÉSZ 160X30 24F VERTO;;;;;;;;;;;;
528160FB;BLANKOLÓ FOGÓ  160MM;;;;;;;;;;;;
528160FB1000V;BLANKOLÓ FOGÓ  160MM 1000V VDE EXTOL PREMIUM;;;;;;;;;;;;
528160KKMI;KŐMŰVESKANÁL 160 / MENNYEZET/ INOX;;;;;;;;;;;;
528160OM;KŐMŰVESKANÁL  180 MM KEREKÍTETT OLASZ;;;;;;;;;;;;
52816108271;EMELŐSZEM NAGYSZILÁRDSÁGÚ CSAPÁGYAZOTT M16 / 10 / 8-271;;;;;;;;;;;;
5281610PT;LAKATFOGÓ DIGITÁLIS 1000 A AC PEAKTECH 1610;;;;;;;;;;;;
5281613HSS;HENGERESSZÁRÚ CSIGAFÚRÓ 16 CSAPOLT SZÁR 13 HSS;;;;;;;;;;;;
5281615MFK;MENETFÚRÓ KÉZI 16X1.5 /2DB-OS/;;;01706;;;;;;;;;
5281615MGCS;MENETFÚRÓ GÉPI CSAVARTHORNYÚ HSS-E M16X1.5 NAREX MF;;;;;;;;;;;;
5281615MGEHSS;MENETFÚRÓ GÉPI EGYENES HORNYÚ 16X1.5 HSS DIN 374;;;54609;;;;;;;;;
5281616160GYBK;ESZTERGAKÉS BETÉTKÉS GYORSACÉL 16x16x160;;;;;;;;;;;;
5281616200GYBK;ESZTERGAKÉS BETÉTKÉS GYORSACÉL 16x16x200 HSS-CO10 POLDI;;;;;;;;;;;;
5281616EKZSP20;ESZTERGAKÉS ZSÁKFURATHOZ 16X16 P20 ISO 9;;;;;;;;;;;;
5281616EKZSP30;ESZTERGAKÉS ZSÁKFURATHOZ 16X16 P30 ISO 9;;;;;;;;;;;;
5281616ISO08K10;ESZTERGAKÉS ÁTMENŐ FURATHOZ 16X16 K10 ISO-08;;;;;;;;;;;;
5281616ISO08P30;ESZTERGAKÉS ÁTMENŐ FURATHOZ 16X16 P30 ISO-08;;;;;;;;;;;;
5281616ISO9K10;ESZTERGAKÉS ZSÁKFURATHOZ 16X16 K10 ISO 9;;;;;;;;;;;;
5281617CSK;CSŐKULCS 16X17 MM;;;;;;;;;;;;
5281617KSTOO;CSILLAGKULCS 16-17 KS TOOLS 517.0810;;;;;;;;;;;;
52816199;ÁSVÁNYGYAPOT, POLYSTIROL, HUNGAROCELVÁGÓ 48/35 CM FESTA;;;;;;;;;;;;
528161MFM;MENETMETSZŐ M16X1 MF DIN 223B HSS;;;;;;;;;;;;
528162013065;SZALAGFŰRÉSZ VÉGTELENÍTETT 1620X13X0.65 10/14;;;;;;;;;;;;
52816201365;SZALAGFŰRÉSZ VÉGTELENÍTETT 1620X13X0.65;;;;;;;;;;;;
5281620165SB;KÁBELKÖPENY CSUPASZTÓ KAMPÓS 165MM KNIPEX 16 20 165 SB;;;;;;;;;;;;
528162016SB;KÁBELCSUPASZÍTÓ KÉS 130 MM 16 20 16 SB KNIPEX;;;;;;;;;;;;
5281620DAW1;EMELŐSZEM FORGATHATÓ M16X20 DAW 1.12 T ;;;;;;;;;;;;
528162105;LAPÁT NYELEZETT SZÓRÓ 162/105 MUTA SZLOVÉN ;;;;;;;;;;;;
528162532198A;KÖSZÖRŰKŐ CSAPOS 16X25X6 P60O TYROLIT 321-98A;;;;;;;;;;;;
5281625WRC;TURBÓMARÓ HENGERES GÖMB VÉGGEL WRC 1625/6MX;;;;;;;;;;;;
5281625YRK;TURBÓMARÓ KÚPOS KERESZTFOGAZÁSSAL 16X25MM YRK2107406K;;;;;;;;;;;;
528162AG;FESTÉKSZÓRÓ PISZTOLY FELSŐ TARTÁLYOS GAV 162A;;;;;;;;;;;;
52816340250SDSMAX;KŐZETFÚRÓ SDS MAX 16X340/250 RAWL;;;61128;;;;;;;;;
528163813065101442SZF;SZALAGFŰRÉSZ 1638X13X0.65 10/14 M42;;;;;;;;;;;;
52816381306581242SZF;SZALAGFŰRÉSZ 1638X13X0.65 8/12 M42;;;;;;;;;;;;
52816390KSHSS;KÚPSÜLLYESZTŐ 16 3 ÉLŰ 90 FOK HSS;;;02502;;;;;;;;;
528164061A60;KÖSZÖRŰKORONG HENGERCSAPOS 16X40X6  7A 60;;;;;;;;;;;;
5281650;MAGLYUKFÚRÓ 16-OS HOSSZÚ 16/50 WELDON-SZÁRAS;;;;;;;;;;;;
5281650145;KÁBELVÁGÓ KÉS RACSNIS CSÚSZÓSARUVAL CSERÉLHETŐ PENGÉVEL KNIPEX 16 50 145;;;;;;;;;;;;
52816513HSS;HENGERESSZÁRÚ CSIGAFÚRÓ 16.5 CSAPOLT SZÁR 13 HSS;;;;;;;;;;;;
52816520Z10;KÖRFŰRÉSZ 165X20 Z10 B-07886;;;;;;;;;;;;
528165390KSHSSD;KÚPSÜLLYESZTŐ 16.5 3 ÉLŰ 90 FOK HSS ;;;;;;;;;;;;
528165CM;FESTŐHENGER NYÉL 165-300CM;;;;;;;;;;;;
528165CO5CS;HENGERESSZÁRÚ CSIGAFÚRÓ 16.5 CSAPOLT 12.7 HSS-E COBALTOS 5% DIN 338;;;;;;;;;;;;
528165HSSCSAP;HENGERESSZÁRÚ CSIGAFÚRÓ 16.5  CSAPOLT SZÁR 13 MM  HSS;;;;;;;;;;;;
528165KHSS;KÚPOSSZÁRÚ CSIGAFÚRÓ 16.5 HSS;;;51084;;;;;;;;;
5281662211;AKKUMULÁTOR SCHWEISSKRAFT VARIOPROTECT XXL-W TC;;;;;;;;;;;;
5281664125SB;KÁBELCSUPASZÍTÓ KOAX 125MM KNIPEX 16 64 125 SB;;;;;;;;;;;;
5281667071;TEREMPARTVIS NYÉLLEL MŰANYAGSZÁLAS 80 CM 1667-071;;;;;;;;;;;;
5281667072;TEREMPARTVIS NYÉLLEL MŰANYAGSZÁLAS 60 CM 1667-072;;;;;;;;;;;;
5281675HB161L;LINDAPTER FESZÍTŐ DÜBEL HATLAP CSAVARRAL 16X75 TŰZIHORGANYZOTT;;;;;;;820310200160001;;;;;
528167A;ALVÁZVÉDŐ SZÓRÓPISZTOLY GAV 167A;;;;;;;;;;;;
5281685269;CSÚSZÓTÁNYÉR ALKATRÉSZ MAKITA 168526-9;;;;;;;;;;;;
5281685340;ALKATRÉSZ MAKITA 168534-0;;;;;;;;;;;;
528169501SB;KÁBELCSUPASZÍTÓ 0.2-4 MM2 ERGOSTRIP KNIPEX 16 95 01 SB;;;;;;;;;;;;
52816CO5;HENGERESSZÁRÚ CSIGAFÚRÓ 16 HSS-E COBALTOS 5% DIN 338;;;65321;;;;;;;;;
52816CO5CS;HENGERESSZÁRÚ CSIGAFÚRÓ 16 CSAPOLT 12.7 HSS-E COBALTOS 5% DIN 338;;;;;;;;;;;;
52816GER;GEREBLYE NYELEZETT 16 FOGÚ;;;;;;;;;;;;
52816KFHW;MAGFÚRÓ 16-OS HOSSZÚ 19/50 WELDON-SZÁRAS UBR2681016L;;;;;;;;;;;;
52816KHSS;KÚPOSSZÁRÚ CSIGAFÚRÓ 16 HSS;;;51083;;;;;;;;;
52816KHSSPRO;KÚPOSSZÁRÚ CSIGAFÚRÓ 16 HSS PROGRESS;;;;;;;;;;;;
52816MGEHSS;MENETFÚRÓ GÉPI EGYENES HORNYÚ M16 HSS;;;;;;;;;;;;
52816MMBAL;MENETMETSZŐ M16 BALOS;;;;;;;;;;;;
52816MMCO;MENETMETSZŐ M16 HSS-E COBALTOS;;;04272;;;;;;;;;
52816MMFAV;FAVÉSŐ 16MM NAREX;;;;;;;;;;;;
52816MMOCS1000V;FOGÓ OLDALCSÍPŐ 160 MM SZIGETELT 1000V EXTOL PREMIUM;;;;;;;;;;;;
52816PSZK;PÁNTOLÓSZALAG KAPOCS 16MM 1000 DB/CSOMAG;;;;;;;;;;;;
5281700524;ZSÍRZÓPUMPA MOBIL 60 LITER LEVEGŐS KOMPLETT;;;;;;;;;;;;
52817006;KÖRKEFE DRÓTCSISZOLÓ KÚPOS HULLÁMOS M14X2 100 MM EXTOL;;;;;;;;;;;;
52817007;FAZÉKKEFE MENETES 65 MM M14 SODROTT ERŐS EXTOL;;;;;;;;;;;;
52817024;KÖRKEFE DRÓTCSISZOLÓ SODORT, M14X2 100 MM EXTOL;;;;;;;;;;;;
52817025;SEEGER-GYŰRŰ FOGÓ KÉSZLET, CSERÉLHETŐ FEJJEL LEV;;;;;;;;;;;;
52817025E;CSAVART KÖRKEFE ACÉL 115MM M14 EXTOL;;;;;;;;;;;;
52817026;KÖRKEFE DRÓTCSISZOLÓ SODORT, M14X2 125 MM EXTOL;;;;;;;;;;;;
5281706DGTBETA;DIGITÁLIS GUMIPROFIL-MÉLYSÉGMÉRŐ BETA 1706DGT;;;;;;;;;;;;
5281708CSG;ELEKTROMOS CSÖRLŐ 1050W 300/600 KG GÜDE 1708;;;;;;;;;;;;
52817100MKZS;KŐMŰVES ZSINÓR 1,7X100M PIROS;;;;;;;;;;;;
5281712DH;DUGÓKULCS HOSSZÚ 17-ES 1/2˝;;;;;;;;;;;;
528171921;"DUGÓKULCS KÉSZLET HOSSZÚ 1/2"" 17-19-21";;;;;;;;;;;;
5281719BMA8S5;RESZELŐ KÉSZLET BETA 1719BMA8/S5;;;;;;;;;;;;
5281719BMD8Q;RESZELŐ NÉGYÉLŰ BETA 1719BMD8/Q;;;;;;;;;;;;
5281719BMD8R;RESZELŐ KEREK 200 MM BETA 1719BMD8/R;;;;;;;;;;;;
5281719CSK;CSŐKULCS 17X19 MM;;;;;;;;;;;;
5281719KS;CSŐKULCS 17X19 MM L=160MM KS TOOLS;;;;;;;;;;;;
5281725;FŰRÉSZKERET FÉM NYÉLLEL 300MM BETA 1725;;;;;;;;;;;;
5281727;"DUGÓKULCS KÉSZLET HOSSZÚ 1/2"" 17-27 MM FORTUM 4700802";;;;;;;;;;;;
52817301;FOGÓ HARAPÓ 180MM CRV 17301 FESTA;;;;;;;;;;;;
5281730KFK;KORONAFÚRÓ 17X30 MM HSS KARNASCH BLUE LINE;;;;;;;;;;;;
5281731;MŰANYAG SIMÍTÓ KARTECSNI 120X800 MM;;;;;;;;;;;;
5281749ABETA;KONYOMÓPISZTOLY PROFI MODELL 360MM ALUMÍNIUMCSŐ BETA 1749A;;;;;;;;;;;;
5281749BETA;KONYOMÓPISZTOLY BETA 1749;;;;;;;;;;;;
52817500810FOR;FOGÓ ÉRVÉGHÜVELY 175MM 0,08-10MM2 FORTUM;;;;;;;;;;;;
52817501;CSŐKULCS KÉSZLET 8+2 RÉSZES, 6-19 MM CRV FESTA;;;;;;;;;;;;
5281750R1;ZSÍRZÓTÖMLŐ 1750R/1 BETA;;;;;;;;;;;;
5281752010KOR;FŰRÉSZÉLEZŐ KÖSZÖRŰKŐ, ÉLEZETT 175X20X10 GRÁNIT PIROS;;;;;;;;;;;;
52817520206A60M;KÖSZÖRŰKORONG 175X20X20 6A 60M 8V 38 PIROS;;;;;;;;;;;;
5281752020A60M;KÖSZÖRŰKORONG 175X20X32 6A 60M 8V 38;;;;;;;;;;;;
5281752020C60M;KÖSZÖRŰKORONG 175X20X20 1C 60M 5V 36 SZÜRKE;;;;;;;;;;;;
52817520326A60M;KÖSZÖRŰKORONG 175X20X32 6A60M 8V38 PIROS;;;;;;;;;;;;
5281752032C60M;KÖSZÖRŰKORONG 175X20X32 1C 60M 5V 36 SZÜRKE;;;;;;;;;;;;
528175214;"RACSNIS BITHAJTÓ 1/4"" CSUKLÓFEJŰ BERNER 175214";;;;;;;;;;;;
5281752532C60M;KÖSZÖRŰKORONG 175X25X32 1C 60M 5V 36 SZÜRKE;;;;;;;;;;;;
52817567;VILLÁSKULCS 46X50MM DIN 3110 FESTA;;;;;;;;;;;;
52817580;CSILLAG-VILLÁSKULCS 17MM FESTA;;;;;;;;;;;;
528175CO5CS;HENGERESSZÁRÚ CSIGAFÚRÓ 17.5 CSAPOLT 12.7 HSS-E COBALTOS 5% DIN 338;;;;;;;;;;;;
528175HSSCSAP;HENGERESSZÁRÚ CSIGAFÚRÓ 17.5 CSAPOLT SZÁR 13 MM  HSS;;;;;;;;;;;;
528175KHSS;KÚPOSSZÁRÚ CSIGAFÚRÓ 17.5 HSS;;;51086;;;;;;;;;
528175SZCS;SZORÍTÓ CSIPESZ 175 MM MŰANYAG MAX NYITÁS 75 MM EXTOL;;;;;;;;;;;;
5281762226PT;ZSÍRZÓTÖMLŐ 8 MÉTERES SAE100 R2 LUBE WORKS;;;;;;;;;;;;
52817742;KÁBELSARU SZORÍTÓ FOGÓ  210 MM 17742  1135888;;;;;;;;;;;;
5281790LR;"RÁTŰZŐKULCS GÉPI 17MM L=90MM 3/4"" HEYCO";;;;;;;;;;;;
528179206;SZERSZÁMOSLÁDA ROLLING WORKSCHOP FIÓKOS 1-79-206 STANLEY;;;;;;;;;;;;
528179216;"SZERSZÁMOSLÁDA BASIC 16"" 1-79-216 STANLEY";;;;;;;;;;;;
52817CO5CS;HENGERESSZÁRÚ CSIGAFÚRÓ 17 CSAPOLT 12.7 HSS-E COBALTOS 5% DIN 338;;;;;;;;;;;;
52817CSVGED;CSILLAG-VILLÁSKULCS 17MM GEDORE;;;;;;;;;;;;
52817HEYCO;IMBUSZKULCS 17-ES HEYCO;;;;;;;;;;;;
52817HIMBUSZ;IMBUSZKULCS 17-ES HOSSZÚ DIN911L FORUM/FORTIS;;;;;;;;;;;;
52817HSSCSAP;HENGERESSZÁRÚ CSIGAFÚRÓ 17 CSAPOLT SZÁR 13 MM  HSS;;;;;;;;;;;;
52817KHSS;KÚPOSSZÁRÚ CSIGAFÚRÓ 17 HSS;;;51085;;;;;;;;;
52817MHV;MENETFÚRÓ HAJTÓVAS M1-M7-IG K-MET;;;;;;;;;;;;
52817PKKS;PIPAKULCS HAJLÍTOTT 17-ES 6 SZÖG L=187MM KS TOOLS;;;;;;;;;;;;
52817RLYFKLT;KÖRKIVÁGÓ KÉSZLET 17 RÉSZES  MILWAUKEE 49224102;;;;;;;;;;;;
52818;KÚPOSSZÁRÚ CSIGAFÚRÓ 18 HSS;;;51087;;;;;;;;;
5281801000VC;FOGÓ OLDALCSÍPŐ 180 MM SZIGETELT 1000V CIMCO 100577;;;;;;;;;;;;
52818012730;CSILLAGKULCS HAJLÍTOTT 27X30 180/1 UNIOR;;;;;;;;;;;;
528180CSF;FOGÓ OLDALCSÍPŐ 180 MM SZIGETELT;;;;;;;;;;;;
528180FH;FESTŐHENGER 180MM;;;;;;;;;;;;
528180KFZ;FOGÓ KOMBINÁLT 180 MM ZEBRA;;;;;;;;;;;;
528180RNY;RESZELŐNYÉL 180 MM 400MM-ES RESZELŐHÖZ;;;;;;;;;;;;
528180VMM;VÍZMÉRTÉK MÁGNESES 180 CM MILWAUKEE;;;;;;;;;;;;
528180Z40LCS;LAMELLÁS CSISZOLÓ 180MM Z40 FLEXMANN FÉM-INOX;;;;;;;;;;;;
52818104;"ZSÍRZÓPISZTOLY PNEUMATIKUS G1/8"" PRESSOL 18104";;;;;;;;;;;;
5281811460RSPRO;SARUKISZEDŐ SZERSZÁM RS PRO 181-1460;;;;;;;;;;;;
5281815MGEHSSENA;MENETFÚRÓ GÉPI CSAVART HORNYÚ 18X1.5 HSS-E NAREX DIN 374;;;;;;;;;;;;
5281815MGEHSSNA;MENETFÚRÓ GÉPI EGYENES HORNYÚ 18X1.5 HSS NAREX DIN 374;;;;;;;;;;;;
5281815MKNA;MENETFÚRÓ KÉZI M18X1.5 HSS /2 DB-OS/ NAREX DIN 2181;;;;;;;;;;;;
52818163526;OLAJPISZTOLY DIGITÁLIS FIX KIÖMLŐ CSŐVEL 18163526;;;;;;;;;;;;
5281819CSKKOV;CSŐKULCS 18X19 MM KOVÁCSOLT;;;;;;;;;;;;
5281819KSTOO;CSILLAGKULCS 18-19 KS TOOLS 517.0812;;;;;;;;;;;;
528181MFM;MENETMETSZŐ M18X1 MF  HSS BUCOVICE TOOLS;;;-;;;;;;;;;
528182MM;MENETMETSZŐ M18X2 BUCOVICE TOOLS;;;-;;;;;;;;;
52818322;MAROKCSAVARHÚZÓ PZ-2X38MM FESTA 18322;;;;;;;;;;;;
52818490;LEV FESTA IMBUSZKLCS KÉSZLET 9 RÉSZES HATLAPÚ 1,5-10MM HOSSZÍTOTT;;;;;;;;;;;;
52818492;LEV FESTA IMBUSZKLCS KÉSZLET 9 RÉSZES GÖMBFEJŰ, HATLAPÚ 1,5-10MM HOSSZÍTOTT;;;;;;;;;;;;
52818496;LEV FESTA IMBUSZKLCS KÉSZLET 9 RÉSZES HATLAPÚ 1,5-10 MM;;;;;;;;;;;;
52818498;LEV FESTA IMBUSZKLCS KÉSZLET 9 RÉSZES HATLAPÚ 1,5-10 MM GÖMBFEJŰ;;;;;;;;;;;;
5281850B;AKKUMULÁTOR 18V 5.0 AH BL 1850B 632F15-1;;;;;;;;;;;;
52818540400SDSMAX;KŐZETFÚRÓ SDS MAX 18X540/400 RAWL;;;65419;;;;;;;;;
528185CO5CS;HENGERESSZÁRÚ CSIGAFÚRÓ 18.5 CSAPOLT 12.7 HSS-E COBALTOS 5% DIN 338;;;;;;;;;;;;
